asin,product_name,brand,sku,seo_owner,ppc_owner,in_monthly_pnl,in_prime_day
B005FN35ZO,VitalCore African Mango,VitalCore,,,,0,0
B008I0L5MQ,VitalCore Raspberry Ketone Plus 180 Capsules,VitalCore,,Tamahra,Akshay,0,0
B008S8KSM6,Viaman Viaman   90 Capsules,Other,,,,0,0
B00E0HITK2,VitalCore Green Coffee Pure 21000mg 90 Capsules,VitalCore,,Twinkle,Akshay,1,0
B00HSIZVN8,VitalCore Garcinia Cambogia Pure 1000 mg 60 Capsules,VitalCore,,,,0,0
B00HSJCT9Q,VitalCore Garcinia Cambogia Plus,VitalCore,,,,0,0
B00HSJLATQ,VitalCore Raspberry Ketone Pure 1200mg 180 Capsules,VitalCore,,Tamahra,Akshay,0,0
B00HSJXJK4,VitalCore Pure Acai Berry,VitalCore,,,,0,0
B00KGYBU2M,Viaman Delay 40 ml  Spray,Other,,,,0,0
B00KGYG8NI,Viaman Delay   6 Wipes,Other,,,,0,0
B00LR215PE,VitalCore Detox Foot Patches,VitalCore,,,,0,0
B00W3ITIVE,VitalCore Active T5 Plus,VitalCore,,,,0,0
B00XUDQ1MU,VitalCore Glucomannan Plus,VitalCore,,,,0,0
B010BW5P10,VitalCore Organic Pure Moringa 1650mg 180 Capsules,VitalCore,CC0130,Tamahra,Akshay,0,1
B010FMZ6YM,VitalCore Detox Tone,VitalCore,,,,0,0
B012FUGTBQ,Viaman Viper   8 Tablets,Other,,,,0,0
B01ELZKFZY,VitalCore Detox Tea 28 Days,VitalCore,,,,0,0
B01ELZWC3C,VitalCore Skinny Tea 28 Days,VitalCore,,,,0,0
B01FWFE7VK,VitalCore Resveratrol with Red Wine Extract 510mg 60 Capsules,VitalCore,CC0173,Tamahra,Akshay,0,1
B01HGB0WS0,VitalCore Belly XS,VitalCore,,,,0,0
B01HND3URQ,Viaman Delay,Other,,,,0,0
B01M19HP0E,Örtte Tea Body Scrub for Cellulite,Other,,,,0,0
B01M6B9KMC,VitalCore Intensive Colon Cleanse,VitalCore,,,,0,0
B01M9D1SFX,VitalCore Matcha Tea,VitalCore,,,,0,0
B01MTQVUQQ,VitalCore Pure Guarana 4800mg 180 Capsules,VitalCore,,Twinkle,Syed,1,0
B01N0R6YHL,Örtte Tea Scrub for Dry Skin,Other,,,,0,0
B01N5FSCHQ,VitalCore CIRCULATOR Device,VitalCore,,Aneesh,Srikara,1,0
B01N673PPH,VitalCore Fenugreek,VitalCore,,,,0,0
B01N673US9,VitalCore Activated Charcoal 2000mg 180 Capsules,VitalCore,,Aneesh,Sourabh,1,0
B01N6DFMOW,VitalCore Fruit Infuser,VitalCore,,,,0,0
B01N6DI4F2,Örtte Tea Body Scrub for Acne,Other,,,,0,0
B01N6HL2CA,Eco Masters Chamomile Day Face,Other,,,,0,0
B01NBKYN20,Örtte Tea FACE Scrub,Other,,,,0,0
B071F9PH5T,VitalCore Curcumin with Vitamin D3,VitalCore,,,,0,0
B071GQX7TV,Viaman Viaman Plus,Other,,,,0,0
B073JB2QW4,VitalCore Fat Binder,VitalCore,,,,0,0
B073X1LMXB,Örtte Coffee Scrub,Other,,,,0,0
B0758D5SVR,Viaman Volume   60 Capsules,Other,,,,0,0
B0758DRTQJ,Viaher Supplement for Women,Other,,,,0,0
B075WYMNXX,VitalCore Immune NU,VitalCore,,,,0,0
B0767D9FJF,VitalCore Candida Support 180 Capsules,VitalCore,,Twinkle,Syed,1,0
B0771T1WRL,Medora ProstaSure 90 capsules,Medora,,Aneesh,Syed,1,0
B0778LB59L,VitalCore AbGym Belt - Abdominal Muscle Toner,VitalCore,,,,0,0
B07884C7GG,VitalCore Brain Complex,VitalCore,,,,0,0
B078WD4D41,Viaman Extendor,Other,,,,0,0
B078Y63H49,VitalCore PressureX,VitalCore,,,,0,0
B078Y7M3S1,VitalCore Marine Collagen Advance 90 Capsules,VitalCore,CC0223,Aneesh,Sourabh,1,1
B079C336Y3,VitalCore Pure Marine Collagen 1170mg 120 Capsules,VitalCore,CC0224,Aneesh,Sourabh,1,1
B07BHT4LJN,VitalCore Omega 3 (Vegan),VitalCore,,,,0,0
B07CGMR9FK,Viaman Viaman Intimacy,Other,,,,0,0
B07DQLQJWC,Medora Marine Collagen Advanced | Germany,Medora,,,,0,0
B07F6J1DXV,Medora morning D-TOX,Medora,,,,0,0
B07F91JDKF,Viaman Viper PRO   15 Capsules,Other,,,,0,0
B07FK47L8M,VitalCore Sunglow 120 Tablets,VitalCore,,Tamahra,Syed,0,0
B07G5CKWV2,Medora eye HEALTH,Medora,,,,0,0
B07G7F577B,VitalCore Joint Health Patch,VitalCore,,,,0,0
B07GNQTSQ9,PawVista Diarrhoea Control,PawVista,,,,0,0
B07GPD11TZ,PawVista Digestive Support for Dogs,PawVista,,,,0,0
B07GPNS4HQ,PawVista Essential Coat for Dogs,PawVista,,,,0,0
B07GPWWT8T,PawVista Hydrolysed Collagen Joint Supplement for Dog,PawVista,,,,0,0
B07GX25G81,PawVista Allergy Aid for dogs 120 Soft Chews (Upgraded),PawVista,,Shirley,Srikara,1,0
B07GX7NG98,PawVista Krill Oil For Dog & Cat,PawVista,,,,0,0
