campaign_label,asin,product_hint,tactic,sum_of_spend,spend_share,total_budget,campaign_level_budget
VitalCore | Resveratrol | BROAD | B01FWFE7VK,B01FWFE7VK,VitalCore,BROAD,38.13,0.02,65.0,1.36
VitalCore | Resveratrol | CT | B01FWFE7VK,B01FWFE7VK,VitalCore,CT,6.66,0.0,65.0,0.24
VitalCore | Resveratrol | Exact | B01FWFE7VK,B01FWFE7VK,VitalCore,Exact,58.08,0.03,65.0,2.08
VitalCore | Resveratrol | New PT - Antioxydants | B01FWFE7VK,B01FWFE7VK,VitalCore,New PT - Antioxydants,224.13,0.12,65.0,8.01
VitalCore | Resveratrol | NEW-AUTO | B01FWFE7VK,B01FWFE7VK,VitalCore,NEW-AUTO,39.68,0.02,65.0,1.42
VitalCore | Resveratrol | PHRASE | B01FWFE7VK,B01FWFE7VK,VitalCore,PHRASE,3.06,0.0,65.0,0.11
VitalCore | Resveratrol | PT | B01FWFE7VK,B01FWFE7VK,VitalCore,PT,58.93,0.03,65.0,2.11
VitalCore | Resveratrol | PT 1 | B01FWFE7VK,B01FWFE7VK,VitalCore,PT 1,1104.17,0.61,65.0,39.45
VitalCore | Resveratrol | Self PT | B01FWFE7VK,B01FWFE7VK,VitalCore,Self PT,27.95,0.02,65.0,1.0
VitalCore | Resveratrol | SKAG | B01FWFE7VK,B01FWFE7VK,VitalCore,SKAG,75.06,0.04,65.0,2.68
VitalCore | Resveratrol | SKAG 2 | B01FWFE7VK,B01FWFE7VK,VitalCore,SKAG 2,16.04,0.01,65.0,0.57
VitalCore | Resveratrol | SQP | Exact | B01FWFE7VK,B01FWFE7VK,VitalCore,Exact,167.24,0.0919,65.0,5.98
VitalCore | Marine Collagen Advanced | AUTO  | B078Y7M3S1,B078Y7M3S1,VitalCore,AUTO,158.23,0.04,800.0,28.9
VitalCore | Marine Collagen Advanced | Comp Brand Kws | B078Y7M3S1,B078Y7M3S1,VitalCore,Comp Brand Kws,32.42,0.01,800.0,5.92
VitalCore | Marine Collagen Advanced | Novoma-PT | B078Y7M3S1,B078Y7M3S1,VitalCore,Novoma-PT,52.53,0.01,800.0,9.6
VitalCore | Marine Collagen Advanced | Nutrimea-PT | B078Y7M3S1,B078Y7M3S1,VitalCore,Nutrimea-PT,112.54,0.03,800.0,20.56
VitalCore | Marine Collagen Advanced | Powder-PT | High Price | B078Y7M3S1,B078Y7M3S1,VitalCore,High Price,10.27,0.0,800.0,1.88
VitalCore | Marine Collagen Advanced | Primary KWs | B078Y7M3S1,B078Y7M3S1,VitalCore,Primary KWs,130.4,0.03,800.0,23.82
VitalCore | Marine Collagen Advanced | PT | B078Y7M3S1,B078Y7M3S1,VitalCore,PT,196.17,0.04,800.0,35.83
VitalCore | Marine Collagen Advanced | Secondary KWs | B078Y7M3S1,B078Y7M3S1,VitalCore,Secondary KWs,136.09,0.03,800.0,24.86
VitalCore | Marine Collagen Advanced | Self PT | B078Y7M3S1,B078Y7M3S1,VitalCore,Self PT,193.0,0.04,800.0,35.25
VitalCore | Marine Collagen Advanced | SKAG | B078Y7M3S1,B078Y7M3S1,VitalCore,SKAG,2377.93,0.54,800.0,434.36
VitalCore |Marine Collagen Advanced | 3 KAG | B078Y7M3S1,B078Y7M3S1,VitalCore,3 KAG,980.09,0.2238,800.0,179.03
VitalCore | Pure Marine Collagen | 2 KAG-collagen marin | B079C336Y3,B079C336Y3,VitalCore,2 KAG-collagen marin,5433.35,0.58,2327.0,1359.98
VitalCore | Pure Marine Collagen | Exact-1 | B079C336Y3,B079C336Y3,VitalCore,Exact-1,92.37,0.01,2327.0,23.12
VitalCore | Pure Marine Collagen | EXACT-2 | Multi Ad grp | B079C336Y3,B079C336Y3,VitalCore,Multi Ad grp,86.12,0.01,2327.0,21.56
VitalCore | Pure Marine Collagen | New PT | B079C336Y3,B079C336Y3,VitalCore,New PT,190.76,0.02,2327.0,47.75
VitalCore | Pure Marine Collagen | Powder PT-1 | B079C336Y3,B079C336Y3,VitalCore,Powder PT-1,36.25,0.0,2327.0,9.07
VitalCore | Pure Marine Collagen | Powder PT-2 | B079C336Y3,B079C336Y3,VitalCore,Powder PT-2,13.83,0.0,2327.0,3.46
VitalCore | Pure Marine Collagen | PT | Novoma  | B079C336Y3,B079C336Y3,VitalCore,Novoma,570.87,0.06,2327.0,142.89
VitalCore | Pure Marine Collagen | PT | Nutrimea-Best Seller | B079C336Y3,B079C336Y3,VitalCore,Nutrimea-Best Seller,460.42,0.05,2327.0,115.24
VitalCore | Pure Marine Collagen | Self PT | U/D | B079C336Y3,B079C336Y3,VitalCore,U/D,1422.54,0.15,2327.0,356.07
VitalCore | Pure Marine Collagen | SKAG - collagene | B079C336Y3,B079C336Y3,VitalCore,SKAG - collagene,416.93,0.04,2327.0,104.36
VitalCore | Pure Marine Collagen | SKAG-PT | Novoma- Advanced Collagen | BS | B079C336Y3,B079C336Y3,VitalCore,BS,75.47,0.01,2327.0,18.89
VitalCore | Pure Marine Collagen 90 Capsules | Auto | B079C336Y3,B079C336Y3,VitalCore,Auto,216.21,0.02,2327.0,54.12
VitalCore | Pure Marine Collagen 90 Capsules | Broad | B079C336Y3,B079C336Y3,VitalCore,Broad,144.69,0.02,2327.0,36.22
VitalCore | Pure Marine Collagen 90 Capsules | CT | B079C336Y3,B079C336Y3,VitalCore,CT,24.58,0.0026,2327.0,6.15
VitalCore | Pure Marine Collagen 90 Capsules | Exact | Type Related Kw | B079C336Y3,B079C336Y3,VitalCore,Type Related Kw,2.16,0.0,2327.0,0.54
VitalCore | Pure Marine Collagen 90 Capsules | Phrase | B079C336Y3,B079C336Y3,VitalCore,Phrase,86.24,0.01,2327.0,21.59
VitalCore | Pure Marine Collagen 90 Capsules | Tablet -PT | B079C336Y3,B079C336Y3,VitalCore,Tablet -PT,23.94,0.0,2327.0,5.99
VitalCore | | CLA | BROAD | B07K9X11YV,B07K9X11YV,VitalCore,BROAD,72.32,0.09,140.0,13.1
