asin,product_name,cpu_euros_planned,units_sold,total_income,ppc_income,advertising,ppc_share,organic_share,ppc_units_sold,cpu_actual,brand
B084G5XC29,VitalCore Omega 3 Fish Oil 2000 mg 240 Softgels,5.529434834,4628.0,86940.33,38823.84,9598.13,0.45,0.55,2067.0,4.644255172,VitalCore
B08PKYTQSL,VitalCore Liposomal Vitamin C  1000 mg 180 Capsules,9.375850677,1280.0,32819.15,14680.38,2850.54,0.45,0.55,573.0,4.978599617,VitalCore
B07LH6X6VC,VitalCore Vibration Exercise Machine    Device,6.325698247,428.0,46469.5,31977.77,2672.42,0.69,0.31,295.0,9.073623805,VitalCore
B079C336Y3,VitalCore Pure Marine Collagen 1200 mg 120 Capsules,20.23118051,2821.0,46469.44,21258.06,8116.88,0.46,0.54,1291.0,6.289698816,VitalCore
B086V74KKR,VitalCore Vitamin D3 4000 IU 400 Tablets,8.358945272,1538.0,24935.98,15267.17,5023.61,0.61,0.39,942.0,5.334914705,VitalCore
B08TCG2RH7,"VitalCore Calcium, Magnesium and Zinc with Vitamin D3   400 Tablets",9.203528703,1457.0,28321.67,19566.37,5531.95,0.69,0.31,1007.0,5.495754077,VitalCore
B0924PFYN9,VitalCore Creatine Monohydrate 3000 mg 270 Tablets,7.009515171,1212.0,24902.67,12764.77,4577.72,0.51,0.49,621.0,7.368507416,VitalCore
B091GB1NP1,VitalCore Vitamin D3 2000IU + K2 (MK-7) 200  mcg (IT)   365 Tablets,7.514035675,1182.0,22315.11,17407.01,4965.97,0.78,0.22,922.0,5.38593947,VitalCore
B08GG96FPL,VitalCore Vitamin B12 (Methylcobalamin) 1000 mcg 450 Tablets,7.114269106,1310.0,21794.45,13541.37,4122.18,0.62,0.38,814.0,5.064527867,VitalCore
B07ZZ4G399,VitalCore Hyaluronic Acid 600 mg 120 Capsules,2.689821954,691.0,14665.28,5161.42,1225.2,0.35,0.65,243.0,5.037906461,VitalCore
B0924Q6VTF,VitalCore Iodine 400 mcg 365 Tablets,7.461518032,569.0,10622.8,7390.12,1540.94,0.7,0.3,396.0,3.892790008,VitalCore
