asin,product_name,seo_owner,ppc_owner,event_date,time_slot,units,spend,day_total_units_jul8,day_total_spend_jul8,brand
B084G5XC29,VitalCore Omega 3 Fish Oil 2000mg 240 Softgels,Twinkle,Srikara,2025-07-08,12:00,65.0,91.81,446.0,698.63,VitalCore
B084G5XC29,VitalCore Omega 3 Fish Oil 2000mg 240 Softgels,Twinkle,Srikara,2025-07-08,16:00,187.0,264.57,446.0,698.63,VitalCore
B084G5XC29,VitalCore Omega 3 Fish Oil 2000mg 240 Softgels,Twinkle,Srikara,2025-07-08,18:00,224.0,301.3,446.0,698.63,VitalCore
B084G5XC29,VitalCore Omega 3 Fish Oil 2000mg 240 Softgels,Twinkle,Srikara,2025-07-08,20:00,260.0,347.04,446.0,698.63,VitalCore
B084G5XC29,VitalCore Omega 3 Fish Oil 2000mg 240 Softgels,Twinkle,Srikara,2025-07-09,12:30,50.0,76.05,446.0,698.63,VitalCore
B084G5XC29,VitalCore Omega 3 Fish Oil 2000mg 240 Softgels,Twinkle,Srikara,2025-07-09,16:00,106.0,183.77,446.0,698.63,VitalCore
B079C336Y3,VitalCore Pure Marine Collagen 1170mg 120 Capsules,Aneesh,Sourabh,2025-07-08,12:00,33.0,95.72,252.0,884.15,VitalCore
B079C336Y3,VitalCore Pure Marine Collagen 1170mg 120 Capsules,Aneesh,Sourabh,2025-07-08,16:00,108.0,333.06,252.0,884.15,VitalCore
B079C336Y3,VitalCore Pure Marine Collagen 1170mg 120 Capsules,Aneesh,Sourabh,2025-07-08,18:00,121.0,400.97,252.0,884.15,VitalCore
B079C336Y3,VitalCore Pure Marine Collagen 1170mg 120 Capsules,Aneesh,Sourabh,2025-07-08,20:00,141.0,472.72,252.0,884.15,VitalCore
B079C336Y3,VitalCore Pure Marine Collagen 1170mg 120 Capsules,Aneesh,Sourabh,2025-07-09,12:30,39.0,66.31,252.0,884.15,VitalCore
B079C336Y3,VitalCore Pure Marine Collagen 1170mg 120 Capsules,Aneesh,Sourabh,2025-07-09,16:00,75.0,132.99,252.0,884.15,VitalCore
B089QCFCV4,VitalCore Organic Turmeric with Black pepper and Ginger 1520mg 180 Capsules,Twinkle,Srikara,2025-07-08,12:00,9.0,46.39,65.0,388.88,VitalCore
B089QCFCV4,VitalCore Organic Turmeric with Black pepper and Ginger 1520mg 180 Capsules,Twinkle,Srikara,2025-07-08,16:00,28.0,130.03,65.0,388.88,VitalCore
B089QCFCV4,VitalCore Organic Turmeric with Black pepper and Ginger 1520mg 180 Capsules,Twinkle,Srikara,2025-07-08,18:00,35.0,168.77,65.0,388.88,VitalCore
B089QCFCV4,VitalCore Organic Turmeric with Black pepper and Ginger 1520mg 180 Capsules,Twinkle,Srikara,2025-07-08,20:00,41.0,194.81,65.0,388.88,VitalCore
B089QCFCV4,VitalCore Organic Turmeric with Black pepper and Ginger 1520mg 180 Capsules,Twinkle,Srikara,2025-07-09,12:30,12.0,58.25,65.0,388.88,VitalCore
B089QCFCV4,VitalCore Organic Turmeric with Black pepper and Ginger 1520mg 180 Capsules,Twinkle,Srikara,2025-07-09,16:00,35.0,113.93,65.0,388.88,VitalCore
B092Q8SGPT,Medora Bio Cultures Complex 60 Billion 120 Capsules,Aneesh,Srikara,2025-07-08,12:00,11.0,23.74,83.0,311.49,Medora
B092Q8SGPT,Medora Bio Cultures Complex 60 Billion 120 Capsules,Aneesh,Srikara,2025-07-08,16:00,33.0,102.81,83.0,311.49,Medora
B092Q8SGPT,Medora Bio Cultures Complex 60 Billion 120 Capsules,Aneesh,Srikara,2025-07-08,18:00,38.0,118.92,83.0,311.49,Medora
B092Q8SGPT,Medora Bio Cultures Complex 60 Billion 120 Capsules,Aneesh,Srikara,2025-07-08,20:00,49.0,142.84,83.0,311.49,Medora
B092Q8SGPT,Medora Bio Cultures Complex 60 Billion 120 Capsules,Aneesh,Srikara,2025-07-09,12:30,15.0,26.78,83.0,311.49,Medora
B092Q8SGPT,Medora Bio Cultures Complex 60 Billion 120 Capsules,Aneesh,Srikara,2025-07-09,16:00,32.0,97.23,83.0,311.49,Medora
B08GG9T6SW,VitalCore Zinc Bisglycinate 50mg 400 Tablets,Tamahra,Syed,2025-07-08,12:00,20.0,34.65,153.0,192.75,VitalCore
B08GG9T6SW,VitalCore Zinc Bisglycinate 50mg 400 Tablets,Tamahra,Syed,2025-07-08,16:00,72.0,125.8,153.0,192.75,VitalCore
B08GG9T6SW,VitalCore Zinc Bisglycinate 50mg 400 Tablets,Tamahra,Syed,2025-07-08,18:00,84.0,139.19,153.0,192.75,VitalCore
B08GG9T6SW,VitalCore Zinc Bisglycinate 50mg 400 Tablets,Tamahra,Syed,2025-07-08,20:00,95.0,146.12,153.0,192.75,VitalCore
B08GG9T6SW,VitalCore Zinc Bisglycinate 50mg 400 Tablets,Tamahra,Syed,2025-07-09,12:30,15.0,26.35,153.0,192.75,VitalCore
B08GG9T6SW,VitalCore Zinc Bisglycinate 50mg 400 Tablets,Tamahra,Syed,2025-07-09,16:00,28.0,47.24,153.0,192.75,VitalCore
B08GG96FPL,VitalCore Vitamin B12 (Methylcobalamin) 1000mcg 400 Tablets,Twinkle,Syed,2025-07-08,12:00,16.0,33.64,124.0,373.13,VitalCore
B08GG96FPL,VitalCore Vitamin B12 (Methylcobalamin) 1000mcg 400 Tablets,Twinkle,Syed,2025-07-08,16:00,46.0,105.69,124.0,373.13,VitalCore
B08GG96FPL,VitalCore Vitamin B12 (Methylcobalamin) 1000mcg 400 Tablets,Twinkle,Syed,2025-07-08,18:00,56.0,137.81,124.0,373.13,VitalCore
B08GG96FPL,VitalCore Vitamin B12 (Methylcobalamin) 1000mcg 400 Tablets,Twinkle,Syed,2025-07-08,20:00,70.0,177.3,124.0,373.13,VitalCore
B08GG96FPL,VitalCore Vitamin B12 (Methylcobalamin) 1000mcg 400 Tablets,Twinkle,Syed,2025-07-09,12:30,9.0,50.06,124.0,373.13,VitalCore
B08GG96FPL,VitalCore Vitamin B12 (Methylcobalamin) 1000mcg 400 Tablets,Twinkle,Syed,2025-07-09,16:00,24.0,104.54,124.0,373.13,VitalCore
B08GG6TPN6,VitalCore Vitamin B Complex 365 Tablets,Twinkle,Syed,2025-07-08,12:00,7.0,11.05,78.0,161.48,VitalCore
B08GG6TPN6,VitalCore Vitamin B Complex 365 Tablets,Twinkle,Syed,2025-07-08,16:00,31.0,49.12,78.0,161.48,VitalCore
B08GG6TPN6,VitalCore Vitamin B Complex 365 Tablets,Twinkle,Syed,2025-07-08,18:00,45.0,69.0,78.0,161.48,VitalCore
B08GG6TPN6,VitalCore Vitamin B Complex 365 Tablets,Twinkle,Syed,2025-07-08,20:00,55.0,80.47,78.0,161.48,VitalCore
B08GG6TPN6,VitalCore Vitamin B Complex 365 Tablets,Twinkle,Syed,2025-07-09,12:30,9.0,19.21,78.0,161.48,VitalCore
B08GG6TPN6,VitalCore Vitamin B Complex 365 Tablets,Twinkle,Syed,2025-07-09,16:00,24.0,58.52,78.0,161.48,VitalCore
B08PKYTQSL,VitalCore Liposomal Vitamin C 1000mg 180 Capsules,Tamahra,Srikara,2025-07-08,12:00,16.0,22.25,125.0,154.34,VitalCore
B08PKYTQSL,VitalCore Liposomal Vitamin C 1000mg 180 Capsules,Tamahra,Srikara,2025-07-08,16:00,45.0,49.72,125.0,154.34,VitalCore
B08PKYTQSL,VitalCore Liposomal Vitamin C 1000mg 180 Capsules,Tamahra,Srikara,2025-07-08,18:00,56.0,64.09,125.0,154.34,VitalCore
B08PKYTQSL,VitalCore Liposomal Vitamin C 1000mg 180 Capsules,Tamahra,Srikara,2025-07-08,20:00,70.0,75.2,125.0,154.34,VitalCore
B08PKYTQSL,VitalCore Liposomal Vitamin C 1000mg 180 Capsules,Tamahra,Srikara,2025-07-09,12:30,8.0,17.15,125.0,154.34,VitalCore
B08PKYTQSL,VitalCore Liposomal Vitamin C 1000mg 180 Capsules,Tamahra,Srikara,2025-07-09,16:00,24.0,34.47,125.0,154.34,VitalCore
B08TCG2RH7,"VitalCore Calcium, Magnesium and Zinc with Vitamin D3 400 Tablets",Tamahra,Srikara,2025-07-08,12:00,15.0,28.93,112.0,380.95,VitalCore
B08TCG2RH7,"VitalCore Calcium, Magnesium and Zinc with Vitamin D3 400 Tablets",Tamahra,Srikara,2025-07-08,16:00,48.0,101.14,112.0,380.95,VitalCore
B08TCG2RH7,"VitalCore Calcium, Magnesium and Zinc with Vitamin D3 400 Tablets",Tamahra,Srikara,2025-07-08,18:00,63.0,142.72,112.0,380.95,VitalCore
B08TCG2RH7,"VitalCore Calcium, Magnesium and Zinc with Vitamin D3 400 Tablets",Tamahra,Srikara,2025-07-08,20:00,70.0,168.81,112.0,380.95,VitalCore
B08TCG2RH7,"VitalCore Calcium, Magnesium and Zinc with Vitamin D3 400 Tablets",Tamahra,Srikara,2025-07-09,12:30,6.0,48.58,112.0,380.95,VitalCore
B08TCG2RH7,"VitalCore Calcium, Magnesium and Zinc with Vitamin D3 400 Tablets",Tamahra,Srikara,2025-07-09,16:00,24.0,101.13,112.0,380.95,VitalCore
B08DG4NXBS,VitalCore Iron 28mg 400 Tablets,Tamahra,Akshay,2025-07-08,12:00,4.0,7.88,39.0,117.26,VitalCore
B08DG4NXBS,VitalCore Iron 28mg 400 Tablets,Tamahra,Akshay,2025-07-08,16:00,17.0,26.26,39.0,117.26,VitalCore
B08DG4NXBS,VitalCore Iron 28mg 400 Tablets,Tamahra,Akshay,2025-07-08,18:00,20.0,35.15,39.0,117.26,VitalCore
B08DG4NXBS,VitalCore Iron 28mg 400 Tablets,Tamahra,Akshay,2025-07-08,20:00,24.0,45.64,39.0,117.26,VitalCore
B08DG4NXBS,VitalCore Iron 28mg 400 Tablets,Tamahra,Akshay,2025-07-09,12:30,14.0,20.68,39.0,117.26,VitalCore
B08DG4NXBS,VitalCore Iron 28mg 400 Tablets,Tamahra,Akshay,2025-07-09,16:00,23.0,43.14,39.0,117.26,VitalCore
B08GGCD1KR,VitalCore Organic Ashwagandha with Black Pepper 605mg 180 Capsules,Tamahra,Akshay,2025-07-08,12:00,6.0,48.28,76.0,495.99,VitalCore
B08GGCD1KR,VitalCore Organic Ashwagandha with Black Pepper 605mg 180 Capsules,Tamahra,Akshay,2025-07-08,16:00,28.0,158.39,76.0,495.99,VitalCore
B08GGCD1KR,VitalCore Organic Ashwagandha with Black Pepper 605mg 180 Capsules,Tamahra,Akshay,2025-07-08,18:00,35.0,196.2,76.0,495.99,VitalCore
B08GGCD1KR,VitalCore Organic Ashwagandha with Black Pepper 605mg 180 Capsules,Tamahra,Akshay,2025-07-08,20:00,39.0,221.99,76.0,495.99,VitalCore
B08GGCD1KR,VitalCore Organic Ashwagandha with Black Pepper 605mg 180 Capsules,Tamahra,Akshay,2025-07-09,12:30,10.0,67.62,76.0,495.99,VitalCore
B08GGCD1KR,VitalCore Organic Ashwagandha with Black Pepper 605mg 180 Capsules,Tamahra,Akshay,2025-07-09,16:00,22.0,142.48,76.0,495.99,VitalCore
B08HJPDMTR,VitalCore Multivitamins with Minerals 365 Tablets,Aneesh,Sourabh,2025-07-08,12:00,13.0,19.78,70.0,212.54,VitalCore
B08HJPDMTR,VitalCore Multivitamins with Minerals 365 Tablets,Aneesh,Sourabh,2025-07-08,16:00,27.0,66.82,70.0,212.54,VitalCore
B08HJPDMTR,VitalCore Multivitamins with Minerals 365 Tablets,Aneesh,Sourabh,2025-07-08,18:00,31.0,81.77,70.0,212.54,VitalCore
B08HJPDMTR,VitalCore Multivitamins with Minerals 365 Tablets,Aneesh,Sourabh,2025-07-08,20:00,40.0,100.6,70.0,212.54,VitalCore
B08HJPDMTR,VitalCore Multivitamins with Minerals 365 Tablets,Aneesh,Sourabh,2025-07-09,12:30,8.0,19.16,70.0,212.54,VitalCore
B08HJPDMTR,VitalCore Multivitamins with Minerals 365 Tablets,Aneesh,Sourabh,2025-07-09,16:00,22.0,60.28,70.0,212.54,VitalCore
B09WJBLCR3,VitalCore Melatonin Complex 365 Tablets,Tamahra,Syed,2025-07-08,12:00,10.0,12.66,76.0,207.74,VitalCore
B09WJBLCR3,VitalCore Melatonin Complex 365 Tablets,Tamahra,Syed,2025-07-08,16:00,26.0,48.58,76.0,207.74,VitalCore
B09WJBLCR3,VitalCore Melatonin Complex 365 Tablets,Tamahra,Syed,2025-07-08,18:00,34.0,53.64,76.0,207.74,VitalCore
B09WJBLCR3,VitalCore Melatonin Complex 365 Tablets,Tamahra,Syed,2025-07-08,20:00,41.0,68.7,76.0,207.74,VitalCore
B09WJBLCR3,VitalCore Melatonin Complex 365 Tablets,Tamahra,Syed,2025-07-09,12:30,17.0,29.45,76.0,207.74,VitalCore
B09WJBLCR3,VitalCore Melatonin Complex 365 Tablets,Tamahra,Syed,2025-07-09,16:00,21.0,56.98,76.0,207.74,VitalCore
B0924PFYN9,VitalCore Creatine Monohydrate 3000mg 270 Tablets,Aneesh,Srikara,2025-07-08,12:00,6.0,24.61,79.0,303.72,VitalCore
B0924PFYN9,VitalCore Creatine Monohydrate 3000mg 270 Tablets,Aneesh,Srikara,2025-07-08,16:00,24.0,89.66,79.0,303.72,VitalCore
B0924PFYN9,VitalCore Creatine Monohydrate 3000mg 270 Tablets,Aneesh,Srikara,2025-07-08,18:00,32.0,123.3,79.0,303.72,VitalCore
B0924PFYN9,VitalCore Creatine Monohydrate 3000mg 270 Tablets,Aneesh,Srikara,2025-07-08,20:00,39.0,139.07,79.0,303.72,VitalCore
B0924PFYN9,VitalCore Creatine Monohydrate 3000mg 270 Tablets,Aneesh,Srikara,2025-07-09,12:30,8.0,30.38,79.0,303.72,VitalCore
B0924PFYN9,VitalCore Creatine Monohydrate 3000mg 270 Tablets,Aneesh,Srikara,2025-07-09,16:00,19.0,53.11,79.0,303.72,VitalCore
B08BTXFQ4F,VitalCore Magnesium Citrate 240 Capsules,Shirley,Srikara,2025-07-08,12:00,4.0,10.25,65.0,222.43,VitalCore
B08BTXFQ4F,VitalCore Magnesium Citrate 240 Capsules,Shirley,Srikara,2025-07-08,16:00,20.0,45.81,65.0,222.43,VitalCore
B08BTXFQ4F,VitalCore Magnesium Citrate 240 Capsules,Shirley,Srikara,2025-07-08,18:00,30.0,71.68,65.0,222.43,VitalCore
B08BTXFQ4F,VitalCore Magnesium Citrate 240 Capsules,Shirley,Srikara,2025-07-08,20:00,38.0,92.9,65.0,222.43,VitalCore
B08BTXFQ4F,VitalCore Magnesium Citrate 240 Capsules,Shirley,Srikara,2025-07-09,12:30,5.0,28.67,65.0,222.43,VitalCore
B08BTXFQ4F,VitalCore Magnesium Citrate 240 Capsules,Shirley,Srikara,2025-07-09,16:00,19.0,64.89,65.0,222.43,VitalCore
B0DM6D92MZ,VitalCore Himalayan Shilajit,Twinkle,Srikara,2025-07-08,12:00,9.0,40.98,35.0,203.15,VitalCore
B0DM6D92MZ,VitalCore Himalayan Shilajit,Twinkle,Srikara,2025-07-08,16:00,14.0,81.4,35.0,203.15,VitalCore
B0DM6D92MZ,VitalCore Himalayan Shilajit,Twinkle,Srikara,2025-07-08,18:00,17.0,90.88,35.0,203.15,VitalCore
B0DM6D92MZ,VitalCore Himalayan Shilajit,Twinkle,Srikara,2025-07-08,20:00,21.0,97.76,35.0,203.15,VitalCore
B0DM6D92MZ,VitalCore Himalayan Shilajit,Twinkle,Srikara,2025-07-09,12:30,8.0,58.12,35.0,203.15,VitalCore
B0DM6D92MZ,VitalCore Himalayan Shilajit,Twinkle,Srikara,2025-07-09,16:00,17.0,127.92,35.0,203.15,VitalCore
B07YNVK1MB,VitalCore Organic Turmeric,Twinkle,Srikara,2025-07-08,12:00,5.0,26.02,44.0,169.38,VitalCore
B07YNVK1MB,VitalCore Organic Turmeric,Twinkle,Srikara,2025-07-08,16:00,25.0,77.18,44.0,169.38,VitalCore
B07YNVK1MB,VitalCore Organic Turmeric,Twinkle,Srikara,2025-07-08,18:00,30.0,91.98,44.0,169.38,VitalCore
B07YNVK1MB,VitalCore Organic Turmeric,Twinkle,Srikara,2025-07-08,20:00,35.0,107.75,44.0,169.38,VitalCore
B07YNVK1MB,VitalCore Organic Turmeric,Twinkle,Srikara,2025-07-09,12:30,6.0,16.51,44.0,169.38,VitalCore
B07YNVK1MB,VitalCore Organic Turmeric,Twinkle,Srikara,2025-07-09,16:00,16.0,43.29,44.0,169.38,VitalCore
B08BXNX4MF,VitalCore Black Maca Complex 5000mg 180 Capsules,Aneesh,Akshay,2025-07-08,12:00,10.0,24.88,51.0,243.68,VitalCore
B08BXNX4MF,VitalCore Black Maca Complex 5000mg 180 Capsules,Aneesh,Akshay,2025-07-08,16:00,22.0,73.38,51.0,243.68,VitalCore
B08BXNX4MF,VitalCore Black Maca Complex 5000mg 180 Capsules,Aneesh,Akshay,2025-07-08,18:00,21.0,86.51,51.0,243.68,VitalCore
B08BXNX4MF,VitalCore Black Maca Complex 5000mg 180 Capsules,Aneesh,Akshay,2025-07-08,20:00,26.0,108.35,51.0,243.68,VitalCore
B08BXNX4MF,VitalCore Black Maca Complex 5000mg 180 Capsules,Aneesh,Akshay,2025-07-09,12:30,13.0,27.84,51.0,243.68,VitalCore
B08BXNX4MF,VitalCore Black Maca Complex 5000mg 180 Capsules,Aneesh,Akshay,2025-07-09,16:00,15.0,58.22,51.0,243.68,VitalCore
B085W65GKF,VitalCore Vitamin C with Rosehip and Bioflavonoids 1000mg 180 Tablets,Tamahra,Srikara,2025-07-08,12:00,3.0,19.34,51.0,183.45,VitalCore
B085W65GKF,VitalCore Vitamin C with Rosehip and Bioflavonoids 1000mg 180 Tablets,Tamahra,Srikara,2025-07-08,16:00,17.0,48.77,51.0,183.45,VitalCore
B085W65GKF,VitalCore Vitamin C with Rosehip and Bioflavonoids 1000mg 180 Tablets,Tamahra,Srikara,2025-07-08,18:00,24.0,60.67,51.0,183.45,VitalCore
B085W65GKF,VitalCore Vitamin C with Rosehip and Bioflavonoids 1000mg 180 Tablets,Tamahra,Srikara,2025-07-08,20:00,26.0,71.44,51.0,183.45,VitalCore
B085W65GKF,VitalCore Vitamin C with Rosehip and Bioflavonoids 1000mg 180 Tablets,Tamahra,Srikara,2025-07-09,12:30,8.0,18.01,51.0,183.45,VitalCore
B085W65GKF,VitalCore Vitamin C with Rosehip and Bioflavonoids 1000mg 180 Tablets,Tamahra,Srikara,2025-07-09,16:00,15.0,45.86,51.0,183.45,VitalCore
B091GB1NP1,VitalCore Vitamin D3 2000IU + K2 (MK-7) 200 mcg (IT) 365 Tablets,Tamahra,Akshay,2025-07-08,12:00,3.0,20.56,53.0,297.54,VitalCore
