month_start_date,year_month,asin,seo_handler,target_revenue,target_gp,active_target_revenue,active_target_gp,total_income,gross_profit,rev_attain_pct,gp_attain_pct,gp_margin_pct,rev_gap_vs_active,gp_gap_vs_active,is_incomplete_month,has_zero_income,plan_but_inactive
2025-01-01,2025-01,B01N5FSCHQ,Aneesh Kumar,35000.0,6650.0,35000.0,6650.0,12640.0,1116.0,36.11,16.78,8.83,-22360.0,-5534.0,0,0,0
2025-01-01,2025-01,B01N673US9,Aneesh Kumar,6500.0,850.0,5661.0,740.0,3345.0,485.0,59.09,65.54,14.5,-2316.0,-255.0,0,0,0
2025-01-01,2025-01,B0771T1WRL,Aneesh Kumar,7500.0,1875.0,6774.0,1693.0,5364.0,1748.0,79.19,103.25,32.59,-1410.0,55.0,0,0,0
2025-01-01,2025-01,B078Y7M3S1,Aneesh Kumar,81500.0,14670.0,81500.0,14670.0,46030.0,8823.0,56.48,60.14,19.17,-35470.0,-5847.0,0,0,0
2025-01-01,2025-01,B079C336Y3,Aneesh Kumar,71000.0,14910.0,54968.0,11543.0,45510.0,10444.0,82.79,90.48,22.95,-9458.0,-1099.0,0,0,0
2025-01-01,2025-01,B07GXS7XS2,Aneesh Kumar,3200.0,448.0,2478.0,347.0,3948.0,1005.0,159.32,289.63,25.46,1470.0,658.0,0,0,0
2025-01-01,2025-01,B07GYL1WMY,Aneesh Kumar,2000.0,460.0,2000.0,460.0,864.0,202.0,43.2,43.91,23.38,-1136.0,-258.0,0,0,0
2025-01-01,2025-01,B07GYW9CVG,Aneesh Kumar,2500.0,480.0,2500.0,480.0,1576.0,209.0,63.04,43.54,13.26,-924.0,-271.0,0,0,0
2025-01-01,2025-01,B07HGCZRVW,Aneesh Kumar,4200.0,500.0,4200.0,500.0,2560.0,441.0,60.95,88.2,17.23,-1640.0,-59.0,0,0,0
2025-01-01,2025-01,B07HGD7YF5,Aneesh Kumar,7000.0,350.0,7000.0,350.0,1033.0,-25.0,14.76,-7.14,-2.42,-5967.0,-375.0,0,0,0
2025-01-01,2025-01,B07HGDT9MT,Aneesh Kumar,1000.0,100.0,1000.0,100.0,438.0,12.0,43.8,12.0,2.74,-562.0,-88.0,0,0,0
2025-01-01,2025-01,B07KC93HR1,Aneesh Kumar,4000.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,1,1
2025-01-01,2025-01,B07L5JH3NT,Aneesh Kumar,2500.0,500.0,1452.0,290.0,844.0,156.0,58.13,53.79,18.48,-608.0,-134.0,0,0,0
2025-01-01,2025-01,B07L8LSQDV,Aneesh Kumar,1750.0,123.0,1750.0,123.0,514.0,70.0,29.37,56.91,13.62,-1236.0,-53.0,0,0,0
2025-01-01,2025-01,B07LH6X6VC,Aneesh Kumar,19000.0,4180.0,12871.0,2832.0,18497.0,3510.0,143.71,123.94,18.98,5626.0,678.0,0,0,0
2025-01-01,2025-01,B07MBZGW8Q,Aneesh Kumar,1800.0,342.0,1568.0,298.0,1804.0,472.0,115.05,158.39,26.16,236.0,174.0,0,0,0
2025-01-01,2025-01,B07MWC4C5X,Aneesh Kumar,500.0,75.0,500.0,75.0,482.0,116.0,96.4,154.67,24.07,-18.0,41.0,0,0,0
2025-01-01,2025-01,B07RY9SYLV,Aneesh Kumar,3500.0,630.0,3500.0,630.0,3175.0,475.0,90.71,75.4,14.96,-325.0,-155.0,0,0,0
2025-01-01,2025-01,B07ZKMCN2Z,Aneesh Kumar,23000.0,4140.0,23000.0,4140.0,10081.0,2466.0,43.83,59.57,24.46,-12919.0,-1674.0,0,0,0
2025-01-01,2025-01,B081NCGQPB,Aneesh Kumar,13000.0,2470.0,10064.0,1912.0,5520.0,1286.0,54.85,67.26,23.3,-4544.0,-626.0,0,0,0
2025-01-01,2025-01,B081Z6V1J6,Aneesh Kumar,3750.0,638.0,3750.0,638.0,2831.0,574.0,75.49,89.97,20.28,-919.0,-64.0,0,0,0
2025-01-01,2025-01,B086T13DD6,Aneesh Kumar,15000.0,3150.0,15000.0,3150.0,10727.0,2628.0,71.51,83.43,24.5,-4273.0,-522.0,0,0,0
2025-01-01,2025-01,B088RKYG7C,Aneesh Kumar,3200.0,832.0,3200.0,832.0,1822.0,633.0,56.94,76.08,34.74,-1378.0,-199.0,0,0,0
2025-01-01,2025-01,B089764H3P,Aneesh Kumar,700.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,1,1
2025-01-01,2025-01,B089QHX5PH,Aneesh Kumar,1650.0,200.0,106.0,13.0,330.0,61.0,311.32,469.23,18.48,224.0,48.0,0,0,0
2025-01-01,2025-01,B08BWSTJBR,Aneesh Kumar,5400.0,850.0,5400.0,850.0,4023.0,796.0,74.5,93.65,19.79,-1377.0,-54.0,0,0,0
2025-01-01,2025-01,B08D9N5CK4,Aneesh Kumar,7400.0,1406.0,7400.0,1406.0,5176.0,1174.0,69.95,83.5,22.68,-2224.0,-232.0,0,0,0
