asin,sku,product_name,current_price,deal_price,ppc_assignee,daily_avg_units,daily_sale_avg,expected_units,expected_sale,ppc_share,exp_ppc_units,daily_budget_per_product,cpu_per_product,day1_units,day1_sales,day1_spend,spend_diff,unit_diff,bacos,gp_pct,gp_per_unit,expected_gp_pct,expected_bacos,extra_blended,event_date,brand
B010BW5P10,CC0130,VitalCore Organic Pure Moringa 1650mg 180 Capsules,20.99,19.79,,,,,,,,,,,,,,,,,,,,,2025-07-09,VitalCore
B09FDXGPH2,CC0460,VitalCore Ashwagandha Extract KSM - 66,22.99,19.99,,,,,,,,,,,,,,,,,,,,,2025-07-09,VitalCore
B078Y7M3S1,CC0223,VitalCore Marine Collagen Advance 90 Capsules,21.99,17.99,Sourabh,38.0,835.62,200.0,3598.0,0.58,116.0,800.0,5.837032336,57.0,1053.54,410.98,-389.02,-143.0,0.3900943486,0.0074,0.13,0.2216,0.06,0.3300943486,2025-07-09,VitalCore
B0B3RJ76ML,CC0473,VitalCore RedYeastRice250mg180Capsule,21.99,17.99,,3.0,65.97,20.0,359.8,0.52,10.4,66.74091642,6.41739581,4.0,72.04,25.12,-41.62091642,-16.0,0.3486951694,0.037,0.63,0.2736,0.12,0.2286951694,2025-07-09,VitalCore
B08GGCD1KR,,VitalCore Organic Ashwagandha with Black Pepper 605 mg 180 Capsules,21.99,19.79,Akshay,34.0,747.66,60.0,1187.4,0.74,44.4,201.3359165,4.534592715,76.0,1518.64,495.99,294.6540835,16.0,0.3266014329,0.0883,1.66,0.2472,0.15,0.1766014329,2025-07-09,VitalCore
B07MZY4P1R,CC0311,VitalCore CoQ10 200mg 120 Capsules,27.75,24.75,Akshay,14.0,388.5,20.0,495.0,0.53,10.6,58.93535674,5.559939315,23.0,528.01,185.13,126.1946433,3.0,0.3506183595,0.1586,3.72,0.2709,0.22,0.1306183595,2025-07-09,VitalCore
B08QNHTFCH,CC0415,PawVista L-Lysine 250g Powder,17.99,15.99,Amjad,7.0,125.93,15.0,239.85,0.53,7.95,72.11887586,9.071556712,7.0,118.06,25.88,-46.23887586,-8.0,0.2192105709,-0.0044,-0.06,0.1385,0.1,0.1192105709,2025-07-09,PawVista
B081NCGQPB,CC0343,VitalCore Apple Cider Vinegar Complex 1860mg 180 Capsules,21.09,17.09,Syed,9.0,189.81,30.0,512.7,0.54,16.2,76.86449389,4.744721845,9.0,162.41,63.12,-13.74449389,-21.0,0.3886460193,-0.0528,-0.86,6.25,0.3,0.08864601933,2025-07-09,VitalCore
B07K9X11YV,CC0282,VitalCore CLA 3000mg 180 Softgels,17.99,16.09,Syed,9.0,161.91,30.0,482.7,0.79,23.7,139.5680517,5.888947331,15.0,245.16,61.97,-77.59805174,-15.0,0.2527736988,0.0295,0.45,0.1162,0.17,0.08277369881,2025-07-09,VitalCore
B091GB1NP1,CC0035,VitalCore Vitamin D3 2000IU + K2 (MK-7) 200 mcg (IT) 365 Tablets,22.99,19.49,Akshay,33.0,758.67,60.0,1169.4,0.78,46.8,351.6568696,7.514035675,53.0,1056.45,297.54,-54.11686959,-7.0,0.281641346,0.1961,3.62,0.2715,0.21,0.07164134602,2025-07-09,VitalCore
